source,nbr_occurences_source,orthographic,nbr_occurences_ortho,note
,2579,[vide],2580,
?,12,???,195,
??,1,???,195,
???,176,???,195,
[vide],1,[vide],2580,
**,1,???,195,
***,1,???,195,
3 evêchés,60,3 évêchés,65,
3 évéchés,5,3 évêchés,65,
4 villes anséatiques,108,Les 4 villes hanséatiques,569,
4 villes Anséatiques,48,Les 4 villes hanséatiques,569,
4 Villes Anséatiques,50,Les 4 villes hanséatiques,569,
Afrique,43,Afrique,43,
Alemagne Pologne,1,Allemagne-Pologne,1206,
Alexandrette,37,Alexandrette,37,
Alger,46,Alger,46,
allemagne,419,Allemagne,13765,
Allemagne,13098,Allemagne,13765,
Allemagne et la Pologne,43,Allemagne-Pologne,1206,
Allemagne et Lorraine,3,Allemagne-Lorraine,125,
Allemagne et Pologne,507,Allemagne-Pologne,1206,
Allemagne et Pologne - par terre,2,Allemagne et Pologne - par terre,2,
Allemagne la Loraine et le pays de Liege,50,Allemagne-Lorraine-Pays de Liège,1787,
Allemagne Lorraine et pays de Liège,308,Allemagne-Lorraine-Pays de Liège,1787,
Allemagne Pologne,5,Allemagne-Pologne,1206,
Allemagne-Pologne,411,Allemagne-Pologne,1206,
"Allemagne, la Lorraine et le pays de Liège",2,Allemagne-Lorraine-Pays de Liège,1787,
"Allemagne, Lorraine et le Païs",728,Allemagne-Lorraine-Pays de Liège,1787,
"Allemagne, Lorraine et le Païs de liege",39,Allemagne-Lorraine-Pays de Liège,1787,
"Allemagne, Lorraine et le païs de Liège",7,Allemagne-Lorraine-Pays de Liège,1787,
"Allemagne, Lorraine et pais de Liege",233,Allemagne-Lorraine-Pays de Liège,1787,
"Allemagne, Lorraine et Païs de Liege",407,Allemagne-Lorraine-Pays de Liège,1787,
allemagneetpologne,35,Allemagne-Pologne,1206,
Allemange,1,Allemagne,13765,
Alllemagne,2,Allemagne,13765,
allmagne,1,Allemagne,13765,
Allmagne-Pologne,22,Allemagne-Pologne,1206,
Alsace,359,Alsace,359,
Alsace et 3 évéchés,3,Alsace et les 3 évêchés,3,
Alsace et Lorraine,3,Alsace-Lorraine,4,
Amérique,263,Amérique,273,
Amériques,29,Amériques,29,
Amiens,2,Amiens,2,
Angleterr,1,Angleterre,24734,
angleterre,1101,Angleterre,24734,
Angleterre,21543,Angleterre,24734,
Angleterre en vertu de licences,101,Angleterre en vertu de licences,444,
Angleterre et Cologne,1,Angleterre et Cologne,1,
Angleterre et flotte anglaise,49,Angleterre et flotte anglaise,49,
Angleterre et ses colonies,398,Angleterre et ses colonies,398,
Angleterre et ses colonies de l'Inde,832,Angleterre et ses colonies de l'Inde,832,
Angleterre par bâtimens licenciés ou autre autorisation spéciale,55,Angleterre par bâtiments licenciés ou autre autorisation spéciale,55,
Angleterre y compris l'Ecosse et l'Irlande,144,Angleterre y compris l'Écosse et l'Irlande,144,
"Angleterre, Ecosse et Irlande",2,"Angleterre, Écosse et l'Irlande",2,
"Angleterre, en vertu de licences",343,Angleterre en vertu de licences,444,
Angletterre,7,Angleterre,24734,
Anlgeterre,2,Angleterre,24734,
Archypel,5,Archipel,5,
Asie,79,Asie,79,
Autriche,29,Autriche,29,
Barbarie,297,Barbarie,371,
Barbarie dans l'Ocean,8,Barbarie dans l'Océan,8,
Barbarie dans l'Ocean et des Iles françoises de l'amerique,59,Barbarie dans l'Océan et Îles françaises d'Amérique,59,
Barbaris,2,Barbarie,371,
bayonne,63,Bayonne,387,
Bayonne,324,Bayonne,387,
Bayonne et Dunkerque,2,Bayonne et Dunkerque,2,
Bayonne et Lorien,1,Bayonne et Lorient,3,
Bayonne et Lorient,1,Bayonne et Lorient,3,
Bayonne et Petites Isles,1,Bayonne et Petites Îles,1,
"Bayonne, Petites Isles, Dunkerque et Lorient",1,"Bayonne, Dunkerque, Lorient et Petites Îles",1,
bayonneillisible,1,Bayonne et ?,1,
bayonnelorient,1,Bayonne et Lorient,3,
bayonnemarseille,3,Bayonne et Marseille,3,
Belgique,67,Belgique,67,
Besançon,2,Besançon,2,
Bilbao,10,Bilbao,10,
bouillon,2,Bouillon,108,
Bouillon,106,Bouillon,108,
Bourbon,50,Bourbon,50,
Bourbon et Caïenne,1,Bourbon-Cayenne,1,
Breme,5,Brême,9,
Bremen,4,Brême,9,
"Bremen, Lubeck, Norvège et villes anséatiques",1,"Brême, Lubeck, Norvège et villes hanséatiques",1,
Brésil,30,Brésil,30,
Bruges,16,Bruges,16,
Cadix,6,Cadix,6,
Cadix et Bilbao,3,Bilbao et Cadix,3,
Canada,38,Canada,38,
Candie,5,Candie,5,
Cannée et Candie,3,Cannée et Candie,3,
Cayenne,11,Cayenne,11,
Cayenne et Guyane,239,Cayenne-Guyane,1065,
Cayenne et Guyanne,826,Cayenne-Guyane,1065,
Chili,15,Chili,15,
Chine,40,Chine,42,
Chypres,17,Chypre,17,
Clermontois,71,Clermontois,71,
Colonie française de l'Amérique,239,Colonies françaises de l'Amérique,239,
Colonies,379,Colonies,379,
Colonies d'Amerique,111,Colonies d'Amérique,111,
Colonies d'Amérique et de l'Inde,12,Colonies d'Amérique et de l'Inde,41,
Colonies de l'Amérique et de l'Inde,29,Colonies d'Amérique et de l'Inde,41,
Colonies françaises,363,Colonies françaises,1487,
Colonies Françaises,1124,Colonies françaises,1487,
Colonies françaises ; au-delà du Cap,2,Colonies françaises au-delà du Cap,4,
Colonies françaises ; en-deça du Cap,2,Colonies françaises en-deça du Cap,4,
Colonies françaises (hors Guiane et Sénégal),2,Colonies françaises hors Guyane et Sénégal,2,
Colonies françaises (hors Sénégal et Caïenne),1,Colonies françaises hors Sénégal et Cayenne,1,
Colonies françaises au-delà du Cap,2,Colonies françaises au-delà du Cap,4,
Colonies françaises d'Amérique,4,Colonies françaises d'Amérique,8,
Colonies françaises de Bourbon,2,Colonie française de Bourbon,2,
Colonies Françaises de l'Amérique,1,Colonies françaises d'Amérique,8,
Colonies Françaises des deux Indes,18,Colonies françaises des deux Indes,18,
"Colonies francaises en Amérique,Asie et afrique",131,"Colonies françaises en Amérique, Asie et Afrique",257,
"Colonies francaises en Asie,Afrique en Amérique",126,"Colonies françaises en Amérique, Asie et Afrique",257,
