quantity_unit,simplification_classification,u_conv,q_conv,marchandises_et_quantités,prix_predit,prix_calculé
muids,??? d'Anjou et de Touraine,,,??? d'Anjou et de Tourainemuids,,
muids,??? des ci-devant provinces d'Alsace,,,??? des ci-devant provinces d'Alsacemuids,,
muids,??? des ci-devant provinces de Bourgogne,,,??? des ci-devant provinces de Bourgognemuids,,
muids,??? des ci-devant provinces de Provence,,,??? des ci-devant provinces de Provencemuids,,
pintes,??? des ci-devant provinces de Provence,litres,.952146,??? des ci-devant provinces de Provencepintes,,
muids,??? des ci-devant provinces du Languedoc,,,??? des ci-devant provinces du Languedocmuids,,
livres,acier et fer,kg,.48949999,acier et ferlivres,,
livres,acier et fer,kg,.48949999,acier et ferlivres,,
quintaux,acier et fer,kg,48.949999,acier et ferquintaux,,
quintaux,acier et fer,kg,48.949999,acier et ferquintaux,,
quintaux,acier et fer,kg,48.949999,acier et ferquintaux,,
quintaux,acier et fer,kg,48.949999,acier et ferquintaux,,
quintaux,acier et fer,kg,48.949999,acier et ferquintaux,,
quintaux,acier et fer,kg,48.949999,acier et ferquintaux,,
quintaux,acier et fer,kg,48.949999,acier et ferquintaux,,
livres,alizari et garance,kg,.48949999,alizari et garancelivres,,
livres,alizari et garance,kg,.48949999,alizari et garancelivres,,
quintaux,alizari et garance,kg,48.949999,alizari et garancequintaux,,
livres,alquifoux ou mine de plomb,kg,.48949999,alquifoux ou mine de plomblivres,,
quintaux,alquifoux,kg,48.949999,alquifouxquintaux,,
quintaux,alquifoux,kg,48.949999,alquifouxquintaux,,
livres,alun,kg,.48949999,alunlivres,.33175322,
livres,alun,kg,.48949999,alunlivres,.33175322,
quintaux,alun,kg,48.949999,alunquintaux,,33.175322
quintaux,alun,kg,48.949999,alunquintaux,,33.175322
quintaux,alun,kg,48.949999,alunquintaux,,33.175322
quintaux,alun,kg,48.949999,alunquintaux,,33.175322
quintaux,alun,kg,48.949999,alunquintaux,,33.175322
quintaux,alun,kg,48.949999,alunquintaux,,33.175322
quintaux,alun,kg,48.949999,alunquintaux,,33.175322
quintaux,alun,kg,48.949999,alunquintaux,,33.175322
livres,amandes,kg,.48949999,amandeslivres,.5998466,
livres,amandes,kg,.48949999,amandeslivres,.5998466,
livres,amandes,kg,.48949999,amandeslivres,.5998466,
livres,amandes,kg,.48949999,amandeslivres,.5998466,
quintaux,amandes,kg,48.949999,amandesquintaux,,59.98466
